id;dataset;text;tokens;label
17263820_gab;HateXplain;male prostitution in pakistan is huge most pakis have had sex with other men pakistani muslim men also like to rape little boys who will stone these blasphemers who will discuss these islamic hypocrisies eh;1- male, 2- prostitution, 3- in, 4- pakistan, 5- is, 6- huge, 7- most, 8- pakis, 9- have, 10- had, 11- sex, 12- with, 13- other, 14- men, 15- pakistani, 16- muslim, 17- men, 18- also, 19- like, 20- to, 21- rape, 22- little, 23- boys, 24- who, 25- will, 26- stone, 27- these, 28- blasphemers, 29- who, 30- will, 31- discuss, 32- these, 33- islamic, 34- hypocrisies, 35- eh;hatespeech targeting Islam
1178930175112691713_twitter;HateXplain;<user> <user> another pakistani jihadi hiding behind a fake name;1- <user>, 2- <user>, 3- another, 4- pakistani, 5- jihadi, 6- hiding, 7- behind, 8- a, 9- fake, 10- name;hatespeech targeting Islam
22119924_gab;HateXplain;he will be out in a few years for good muzzie behavior or pardoned by the next pres;1- he, 2- will, 3- be, 4- out, 5- in, 6- a, 7- few, 8- years, 9- for, 10- good, 11- muzzie, 12- behavior, 13- or, 14- pardoned, 15- by, 16- the, 17- next, 18- pres;hatespeech targeting Islam
1178965584488230913_twitter;HateXplain;<user> he is infected with jihadi virus he will spread it to others;1- <user>, 2- he, 3- is, 4- infected, 5- with, 6- jihadi, 7- virus, 8- he, 9- will, 10- spread, 11- it, 12- to, 13- others;hatespeech targeting Islam
14312554_gab;HateXplain;muzzies are goathumpers and wifebeaters and the goats are not happy;1- muzzies, 2- are, 3- goathumpers, 4- and, 5- wifebeaters, 6- and, 7- the, 8- goats, 9- are, 10- not, 11- happy;hatespeech targeting Islam
1178583252631556096_twitter;HateXplain;not a damn soul bigoted conservative muzzies with no concept of human rights mee baeh muslim dhivehinge khaalath varah dhera ingeythoww 🥵;1- not, 2- a, 3- damn, 4- soul, 5- bigoted, 6- conservative, 7- muzzies, 8- with, 9- no, 10- concept, 11- of, 12- human, 13- rights, 14- mee, 15- baeh, 16- muslim, 17- dhivehinge, 18- khaalath, 19- varah, 20- dhera, 21- ingeythoww, 22- 🥵;hatespeech targeting Islam
25162683_gab;HateXplain;you are wrong that muzzie was testing the security of the congregation;1- you, 2- are, 3- wrong, 4- that, 5- muzzie, 6- was, 7- testing, 8- the, 9- security, 10- of, 11- the, 12- congregation;hatespeech targeting Islam
1178944696342761472_twitter;HateXplain;<user> <user> ffs hundreds of white girls raped by muslim men and everyone is getting worked up about a non provible politically convenient story from <number> years ago;1- <user>, 2- <user>, 3- ffs, 4- hundreds, 5- of, 6- white, 7- girls, 8- raped, 9- by, 10- muslim, 11- men, 12- and, 13- everyone, 14- is, 15- getting, 16- worked, 17- up, 18- about, 19- a, 20- non, 21- provible, 22- politically, 23- convenient, 24- story, 25- from, 26- <number>, 27- years, 28- ago;offensive targeting Islam
23013042_gab;HateXplain;expect the media to run with sob stories later of how a shit coloured moslem was given a dirty look or how a white man refused to give up his seat on the bus for some rag headed moslem woman;1- expect, 2- the, 3- media, 4- to, 5- run, 6- with, 7- sob, 8- stories, 9- later, 10- of, 11- how, 12- a, 13- shit, 14- coloured, 15- moslem, 16- was, 17- given, 18- a, 19- dirty, 20- look, 21- or, 22- how, 23- a, 24- white, 25- man, 26- refused, 27- to, 28- give, 29- up, 30- his, 31- seat, 32- on, 33- the, 34- bus, 35- for, 36- some, 37- rag, 38- headed, 39- moslem, 40- woman;hatespeech targeting Islam
1178577875143757824_twitter;HateXplain;<user> <user> women are abducted raped then forcefully converted with threats to their complete family if you dont know the depth of filth in islamic doctrine i pity you for someone near will experience considering america too turning into sympathizers enabling radicalization;1- <user>, 2- <user>, 3- women, 4- are, 5- abducted, 6- raped, 7- then, 8- forcefully, 9- converted, 10- with, 11- threats, 12- to, 13- their, 14- complete, 15- family, 16- if, 17- you, 18- dont, 19- know, 20- the, 21- depth, 22- of, 23- filth, 24- in, 25- islamic, 26- doctrine, 27- i, 28- pity, 29- you, 30- for, 31- someone, 32- near, 33- will, 34- experience, 35- considering, 36- america, 37- too, 38- turning, 39- into, 40- sympathizers, 41- enabling, 42- radicalization;hatespeech targeting Islam
12764956_gab;HateXplain;if forced to chose i d rather live next door to a white polish family with limited english than a paki moslem one who were born here and spoke perfect english;1- if, 2- forced, 3- to, 4- chose, 5- i, 6- d, 7- rather, 8- live, 9- next, 10- door, 11- to, 12- a, 13- white, 14- polish, 15- family, 16- with, 17- limited, 18- english, 19- than, 20- a, 21- paki, 22- moslem, 23- one, 24- who, 25- were, 26- born, 27- here, 28- and, 29- spoke, 30- perfect, 31- english;hatespeech targeting Islam
1179012360482123777_twitter;HateXplain;<user> <user> hey jihadi first stop introducing urself as an indian in foreign countries cuz i heard most overseas pakistanis are ashamed of revealing their real identity;1- <user>, 2- <user>, 3- hey, 4- jihadi, 5- first, 6- stop, 7- introducing, 8- urself, 9- as, 10- an, 11- indian, 12- in, 13- foreign, 14- countries, 15- cuz, 16- i, 17- heard, 18- most, 19- overseas, 20- pakistanis, 21- are, 22- ashamed, 23- of, 24- revealing, 25- their, 26- real, 27- identity;hatespeech targeting Islam
23930277_gab;HateXplain;<number> muslim paki filth <number> van job done;1- <number>, 2- muslim, 3- paki, 4- filth, 5- <number>, 6- van, 7- job, 8- done;hatespeech targeting Islam
1178634815551234048_twitter;HateXplain;<user> let us not forget that pakistan is a islamist sharia country that supports terrorist groups around the world so they do in india in fact if muslim invaders would not have raped india that shitty nuke state would not even exist;1- <user>, 2- let, 3- us, 4- not, 5- forget, 6- that, 7- pakistan, 8- is, 9- a, 10- islamist, 11- sharia, 12- country, 13- that, 14- supports, 15- terrorist, 16- groups, 17- around, 18- the, 19- world, 20- so, 21- they, 22- do, 23- in, 24- india, 25- in, 26- fact, 27- if, 28- muslim, 29- invaders, 30- would, 31- not, 32- have, 33- raped, 34- india, 35- that, 36- shitty, 37- nuke, 38- state, 39- would, 40- not, 41- even, 42- exist;hatespeech targeting Islam
20028120_gab;HateXplain;you are a muzzie right lolzy;1- you, 2- are, 3- a, 4- muzzie, 5- right, 6- lolzy;hatespeech targeting Islam
1179086916114714625_twitter;HateXplain;<user> read the koran its not allowed for muzzie to convert;1- <user>, 2- read, 3- the, 4- koran, 5- its, 6- not, 7- allowed, 8- for, 9- muzzie, 10- to, 11- convert;hatespeech targeting Islam
15610807_gab;HateXplain;do you understand the morning after pill do you understand the prevention of fertilization or do you think when a muzzie rapes a woman it really cool that she should have to live with that because it a life;1- do, 2- you, 3- understand, 4- the, 5- morning, 6- after, 7- pill, 8- do, 9- you, 10- understand, 11- the, 12- prevention, 13- of, 14- fertilization, 15- or, 16- do, 17- you, 18- think, 19- when, 20- a, 21- muzzie, 22- rapes, 23- a, 24- woman, 25- it, 26- really, 27- cool, 28- that, 29- she, 30- should, 31- have, 32- to, 33- live, 34- with, 35- that, 36- because, 37- it, 38- a, 39- life;hatespeech targeting Islam
25470749_gab;HateXplain;most of the violent muzzies are inbred retards with iq of <number>;1- most, 2- of, 3- the, 4- violent, 5- muzzies, 6- are, 7- inbred, 8- retards, 9- with, 10- iq, 11- of, 12- <number>;offensive targeting Islam
1178980875377102849_twitter;HateXplain;<user> <user> a hindu refugee has roots with india in terms of religion muslim refugee can take refugee at a islamic country more over we cannot see more bomb blasts which start with ola ho uber;1- <user>, 2- <user>, 3- a, 4- hindu, 5- refugee, 6- has, 7- roots, 8- with, 9- india, 10- in, 11- terms, 12- of, 13- religion, 14- muslim, 15- refugee, 16- can, 17- take, 18- refugee, 19- at, 20- a, 21- islamic, 22- country, 23- more, 24- over, 25- we, 26- cannot, 27- see, 28- more, 29- bomb, 30- blasts, 31- which, 32- start, 33- with, 34- ola, 35- ho, 36- uber;hatespeech targeting Islam
24852459_gab;HateXplain;actually i am a christian you muzzie loon;1- actually, 2- i, 3- am, 4- a, 5- christian, 6- you, 7- muzzie, 8- loon;hatespeech targeting Islam
1179045784781836288_twitter;HateXplain;<user> same with feminists nothing about the raping gangs attacking <number> year old white girls nothing about fgm although they are starting to demand nhs clinics to treat the victims but never any demand for the arrest of these criminals will lead to moslem only wards to our disadvantage;1- <user>, 2- same, 3- with, 4- feminists, 5- nothing, 6- about, 7- the, 8- raping, 9- gangs, 10- attacking, 11- <number>, 12- year, 13- old, 14- white, 15- girls, 16- nothing, 17- about, 18- fgm, 19- although, 20- they, 21- are, 22- starting, 23- to, 24- demand, 25- nhs, 26- clinics, 27- to, 28- treat, 29- the, 30- victims, 31- but, 32- never, 33- any, 34- demand, 35- for, 36- the, 37- arrest, 38- of, 39- these, 40- criminals, 41- will, 42- lead, 43- to, 44- moslem, 45- only, 46- wards, 47- to, 48- our, 49- disadvantage;hatespeech targeting Islam
15398939_gab;HateXplain;i am more worried about muzzies and their proclivity towards raping killing random people and not sticking to their goats;1- i, 2- am, 3- more, 4- worried, 5- about, 6- muzzies, 7- and, 8- their, 9- proclivity, 10- towards, 11- raping, 12- killing, 13- random, 14- people, 15- and, 16- not, 17- sticking, 18- to, 19- their, 20- goats;offensive targeting Islam
1179029653861756928_twitter;HateXplain;<user> tell the jihadi john to stop yapping abhijit iyer mitra countered his verbal heckling perfectly and showed him his aukaat;1- <user>, 2- tell, 3- the, 4- jihadi, 5- john, 6- to, 7- stop, 8- yapping, 9- abhijit, 10- iyer, 11- mitra, 12- countered, 13- his, 14- verbal, 15- heckling, 16- perfectly, 17- and, 18- showed, 19- him, 20- his, 21- aukaat;hatespeech targeting Islam
10354370_gab;HateXplain;everyone deserves to have their own ethnostate i think jews are crazy for wanting it in the middle of savage muzzies but whatever floats your boat;1- everyone, 2- deserves, 3- to, 4- have, 5- their, 6- own, 7- ethnostate, 8- i, 9- think, 10- jews, 11- are, 12- crazy, 13- for, 14- wanting, 15- it, 16- in, 17- the, 18- middle, 19- of, 20- savage, 21- muzzies, 22- but, 23- whatever, 24- floats, 25- your, 26- boat;hatespeech targeting Islam
1178971871011672064_twitter;HateXplain;a true muslim who follow quran cannot possess humanity;1- a, 2- true, 3- muslim, 4- who, 5- follow, 6- quran, 7- cannot, 8- possess, 9- humanity;hatespeech targeting Islam
14874070_gab;HateXplain;kill all these muscum terrorists before they kill you;1- kill, 2- all, 3- these, 4- muscum, 5- terrorists, 6- before, 7- they, 8- kill, 9- you;hatespeech targeting Islam
1179044064471199746_twitter;HateXplain;<user> <user> it is not a fake id it is a parody a jihadi like you would not get it go suck it;1- <user>, 2- <user>, 3- it, 4- is, 5- not, 6- a, 7- fake, 8- id, 9- it, 10- is, 11- a, 12- parody, 13- a, 14- jihadi, 15- like, 16- you, 17- would, 18- not, 19- get, 20- it, 21- go, 22- suck, 23- it;offensive targeting Islam
22575269_gab;HateXplain;well at least the mudslimes occasionally get it right now if they could just ramp it up by about <number> million;1- well, 2- at, 3- least, 4- the, 5- mudslimes, 6- occasionally, 7- get, 8- it, 9- right, 10- now, 11- if, 12- they, 13- could, 14- just, 15- ramp, 16- it, 17- up, 18- by, 19- about, 20- <number>, 21- million;offensive targeting Islam
1118282845263421445_twitter;HateXplain;so they burnt the talmud in the notre dame cathedral now jews and muzzies celebrate muzzie cucks and jewish bucks;1- so, 2- they, 3- burnt, 4- the, 5- talmud, 6- in, 7- the, 8- notre, 9- dame, 10- cathedral, 11- now, 12- jews, 13- and, 14- muzzies, 15- celebrate, 16- muzzie, 17- cucks, 18- and, 19- jewish, 20- bucks;hatespeech targeting Islam
15979583_gab;HateXplain;hope someone had some bacon bits to put on the moslem;1- hope, 2- someone, 3- had, 4- some, 5- bacon, 6- bits, 7- to, 8- put, 9- on, 10- the, 11- moslem;hatespeech targeting Islam
1178904537928798208_twitter;HateXplain;<user> happy birthday to one of the greatest muzzrat slayer may mahadev bless you and may you keep kicking these muzzrats n com rats in debate sir 🙌 🙌 🙌 🚩 🚩 🚩 🚩 🚩 jai mahishmati ✊ ✊;1- <user>, 2- happy, 3- birthday, 4- to, 5- one, 6- of, 7- the, 8- greatest, 9- muzzrat, 10- slayer, 11- may, 12- mahadev, 13- bless, 14- you, 15- and, 16- may, 17- you, 18- keep, 19- kicking, 20- these, 21- muzzrats, 22- n, 23- com, 24- rats, 25- in, 26- debate, 27- sir, 28- 🙌, 29- 🙌, 30- 🙌, 31- 🚩, 32- 🚩, 33- 🚩, 34- 🚩, 35- 🚩, 36- jai, 37- mahishmati, 38- ✊, 39- ✊;hatespeech targeting Islam
3584277_gab;HateXplain;<user> when asked about the similarities between the moderate muzzies and the blacks colin flaherty said they are not similar they are the exact same thing lots of heads on the hydra;1- <user>, 2- when, 3- asked, 4- about, 5- the, 6- similarities, 7- between, 8- the, 9- moderate, 10- muzzies, 11- and, 12- the, 13- blacks, 14- colin, 15- flaherty, 16- said, 17- they, 18- are, 19- not, 20- similar, 21- they, 22- are, 23- the, 24- exact, 25- same, 26- thing, 27- lots, 28- of, 29- heads, 30- on, 31- the, 32- hydra;hatespeech targeting Islam
1178966416227090433_twitter;HateXplain;<user> <user> yes so moral of story is never make the moderate muzzie posterboy for hindus he will b as much a empty vessel as any other;1- <user>, 2- <user>, 3- yes, 4- so, 5- moral, 6- of, 7- story, 8- is, 9- never, 10- make, 11- the, 12- moderate, 13- muzzie, 14- posterboy, 15- for, 16- hindus, 17- he, 18- will, 19- b, 20- as, 21- much, 22- a, 23- empty, 24- vessel, 25- as, 26- any, 27- other;hatespeech targeting Islam
27037471_gab;HateXplain;the reichsvikings are cleaning up muzzie filth in tripoli to celebrate the passing of high crown authority law it only took thousands of gold in bribes to do it;1- the, 2- reichsvikings, 3- are, 4- cleaning, 5- up, 6- muzzie, 7- filth, 8- in, 9- tripoli, 10- to, 11- celebrate, 12- the, 13- passing, 14- of, 15- high, 16- crown, 17- authority, 18- law, 19- it, 20- only, 21- took, 22- thousands, 23- of, 24- gold, 25- in, 26- bribes, 27- to, 28- do, 29- it;hatespeech targeting Islam
1178738567616618496_twitter;HateXplain;<user> apparently there is some weird edl type plotline too one of the old main gay characters has been groomed to become a muzzy hater lmao;1- <user>, 2- apparently, 3- there, 4- is, 5- some, 6- weird, 7- edl, 8- type, 9- plotline, 10- too, 11- one, 12- of, 13- the, 14- old, 15- main, 16- gay, 17- characters, 18- has, 19- been, 20- groomed, 21- to, 22- become, 23- a, 24- muzzy, 25- hater, 26- lmao;hatespeech targeting Islam
9382121_gab;HateXplain;<number> should i fuck my mother before or after it comes out that he also a muzzie <number> would i not have to fuck my mother if i waited till it came out that he was a muzzie and then pointed that fact out;1- <number>, 2- should, 3- i, 4- fuck, 5- my, 6- mother, 7- before, 8- or, 9- after, 10- it, 11- comes, 12- out, 13- that, 14- he, 15- also, 16- a, 17- muzzie, 18- <number>, 19- would, 20- i, 21- not, 22- have, 23- to, 24- fuck, 25- my, 26- mother, 27- if, 28- i, 29- waited, 30- till, 31- it, 32- came, 33- out, 34- that, 35- he, 36- was, 37- a, 38- muzzie, 39- and, 40- then, 41- pointed, 42- that, 43- fact, 44- out;hatespeech targeting Islam
1074467688855015426_twitter;HateXplain;reading tweets from muslim twitter has made me islamophobic;1- reading, 2- tweets, 3- from, 4- muslim, 5- twitter, 6- has, 7- made, 8- me, 9- islamophobic;hatespeech targeting Islam
10852165_gab;HateXplain;the implication is that muslims do not have the same moral agency that white people have and in all honesty i do not disagree;1- the, 2- implication, 3- is, 4- that, 5- muslims, 6- do, 7- not, 8- have, 9- the, 10- same, 11- moral, 12- agency, 13- that, 14- white, 15- people, 16- have, 17- and, 18- in, 19- all, 20- honesty, 21- i, 22- do, 23- not, 24- disagree;offensive targeting Islam
1086259383443451905_twitter;HateXplain;<user> shameless never did anything fr kashmiri pandits and talking of humanity you jihadi funded third grade ngo;1- <user>, 2- shameless, 3- never, 4- did, 5- anything, 6- fr, 7- kashmiri, 8- pandits, 9- and, 10- talking, 11- of, 12- humanity, 13- you, 14- jihadi, 15- funded, 16- third, 17- grade, 18- ngo;hatespeech targeting Islam
10924439_gab;HateXplain;okay now get the islame ist muslimes out of our country for christ sake training camps really;1- okay, 2- now, 3- get, 4- the, 5- islame, 6- ist, 7- muslimes, 8- out, 9- of, 10- our, 11- country, 12- for, 13- christ, 14- sake, 15- training, 16- camps, 17- really;offensive targeting Islam
1094793772515426304_twitter;HateXplain;<user> <user> she not an american she a muslim one can not be both a hater of america amp a goat molesters wife;1- <user>, 2- <user>, 3- she, 4- not, 5- an, 6- american, 7- she, 8- a, 9- muslim, 10- one, 11- can, 12- not, 13- be, 14- both, 15- a, 16- hater, 17- of, 18- america, 19- amp, 20- a, 21- goat, 22- molesters, 23- wife;offensive targeting Islam
11145172_gab;HateXplain;i am afraid issues such as the ill treatment of our military veterans farming of our elderly in foreign staffed care homes neglect of our homeless sacrifice of our children to muslim rape gangs widescale government corruption etc are so common place people no longer give a shit disgraceful;1- i, 2- am, 3- afraid, 4- issues, 5- such, 6- as, 7- the, 8- ill, 9- treatment, 10- of, 11- our, 12- military, 13- veterans, 14- farming, 15- of, 16- our, 17- elderly, 18- in, 19- foreign, 20- staffed, 21- care, 22- homes, 23- neglect, 24- of, 25- our, 26- homeless, 27- sacrifice, 28- of, 29- our, 30- children, 31- to, 32- muslim, 33- rape, 34- gangs, 35- widescale, 36- government, 37- corruption, 38- etc, 39- are, 40- so, 41- common, 42- place, 43- people, 44- no, 45- longer, 46- give, 47- a, 48- shit, 49- disgraceful;offensive targeting Islam
1115422321550987264_twitter;HateXplain;<user> reject radical islam;1- <user>, 2- reject, 3- radical, 4- islam;offensive targeting Islam
11303329_gab;HateXplain;bobamas homeland security dept did the same thing their first directive was to target military returning from theater as potential internal terrorist threat meanwhile bobama was inviting the muslim brotherhood into the white house to turn over all our secrets to them on a daily basis;1- bobamas, 2- homeland, 3- security, 4- dept, 5- did, 6- the, 7- same, 8- thing, 9- their, 10- first, 11- directive, 12- was, 13- to, 14- target, 15- military, 16- returning, 17- from, 18- theater, 19- as, 20- potential, 21- internal, 22- terrorist, 23- threat, 24- meanwhile, 25- bobama, 26- was, 27- inviting, 28- the, 29- muslim, 30- brotherhood, 31- into, 32- the, 33- white, 34- house, 35- to, 36- turn, 37- over, 38- all, 39- our, 40- secrets, 41- to, 42- them, 43- on, 44- a, 45- daily, 46- basis;hatespeech targeting Islam
1143143974070132736_twitter;HateXplain;bts as muslims thread a thread;1- bts, 2- as, 3- muslims, 4- thread, 5- a, 6- thread;offensive targeting Islam
1159860_gab;HateXplain;<user> its been long known she is a saudi intel asset tied to the muslim brotherhood;1- <user>, 2- its, 3- been, 4- long, 5- known, 6- she, 7- is, 8- a, 9- saudi, 10- intel, 11- asset, 12- tied, 13- to, 14- the, 15- muslim, 16- brotherhood;offensive targeting Islam
11710814_gab;HateXplain;yes when a group of people seek to subjugate another group of people such as the muslim invasion of europe and what they do in raping killing and other forms of evil their lives are worth nothing the same is beginning to happen in north america;1- yes, 2- when, 3- a, 4- group, 5- of, 6- people, 7- seek, 8- to, 9- subjugate, 10- another, 11- group, 12- of, 13- people, 14- such, 15- as, 16- the, 17- muslim, 18- invasion, 19- of, 20- europe, 21- and, 22- what, 23- they, 24- do, 25- in, 26- raping, 27- killing, 28- and, 29- other, 30- forms, 31- of, 32- evil, 33- their, 34- lives, 35- are, 36- worth, 37- nothing, 38- the, 39- same, 40- is, 41- beginning, 42- to, 43- happen, 44- in, 45- north, 46- america;offensive targeting Islam
1172678157289304064_twitter;HateXplain;<user> must admit the term “ muzzies ” nags at me bothers me but this guy nevertheless is in need of serious mental adjustment;1- <user>, 2- must, 3- admit, 4- the, 5- term, 6- “, 7- muzzies, 8- ”, 9- nags, 10- at, 11- me, 12- bothers, 13- me, 14- but, 15- this, 16- guy, 17- nevertheless, 18- is, 19- in, 20- need, 21- of, 22- serious, 23- mental, 24- adjustment;offensive targeting Islam
1175093_gab;HateXplain;so since this is my 6 6 6 th post i thought i d mention that the name baphomet the devil some worship comes from old french for mohammad coincidence or did the french know that the muzzies were demons on earth speakfreely draintheswamp maga;1- so, 2- since, 3- this, 4- is, 5- my, 6- 6, 7- 6, 8- 6, 9- th, 10- post, 11- i, 12- thought, 13- i, 14- d, 15- mention, 16- that, 17- the, 18- name, 19- baphomet, 20- the, 21- devil, 22- some, 23- worship, 24- comes, 25- from, 26- old, 27- french, 28- for, 29- mohammad, 30- coincidence, 31- or, 32- did, 33- the, 34- french, 35- know, 36- that, 37- the, 38- muzzies, 39- were, 40- demons, 41- on, 42- earth, 43- speakfreely, 44- draintheswamp, 45- maga;hatespeech targeting Islam
1177628945409171462_twitter;HateXplain;<user> <user> she not a historian a jihadi is the correct term;1- <user>, 2- <user>, 3- she, 4- not, 5- a, 6- historian, 7- a, 8- jihadi, 9- is, 10- the, 11- correct, 12- term;offensive targeting Islam
11780203_gab;HateXplain;use violence against swedish women as the backdrop highlight islamic violence from those invaders double whammy no;1- use, 2- violence, 3- against, 4- swedish, 5- women, 6- as, 7- the, 8- backdrop, 9- highlight, 10- islamic, 11- violence, 12- from, 13- those, 14- invaders, 15- double, 16- whammy, 17- no;hatespeech targeting Islam
1178308553238618114_twitter;HateXplain;<user> only one misusing scholars words and glorifying slavery here that islam tried to abolish in every way is you tfou 3 leik 🤢 🤮;1- <user>, 2- only, 3- one, 4- misusing, 5- scholars, 6- words, 7- and, 8- glorifying, 9- slavery, 10- here, 11- that, 12- islam, 13- tried, 14- to, 15- abolish, 16- in, 17- every, 18- way, 19- is, 20- you, 21- tfou, 22- 3, 23- leik, 24- 🤢, 25- 🤮;offensive targeting Islam
11870597_gab;HateXplain;i was wondering when a muslim becomes prime minister where will the first english hydrogen bomb be droped on manchester london or brussels;1- i, 2- was, 3- wondering, 4- when, 5- a, 6- muslim, 7- becomes, 8- prime, 9- minister, 10- where, 11- will, 12- the, 13- first, 14- english, 15- hydrogen, 16- bomb, 17- be, 18- droped, 19- on, 20- manchester, 21- london, 22- or, 23- brussels;offensive targeting Islam
1200675769845813249_twitter;HateXplain;<user> all muslims are terrorists;1- <user>, 2- all, 3- muslims, 4- are, 5- terrorists;hatespeech targeting Islam
12158323_gab;HateXplain;for all the muslim goatfuckers;1- for, 2- all, 3- the, 4- muslim, 5- goatfuckers;offensive targeting Islam
1220886994022211591_twitter;HateXplain;i ’ m not boutta let bts be some backup dancers for this islamphobic fuck please get them off that stage;1- i, 2- ’, 3- m, 4- not, 5- boutta, 6- let, 7- bts, 8- be, 9- some, 10- backup, 11- dancers, 12- for, 13- this, 14- islamphobic, 15- fuck, 16- please, 17- get, 18- them, 19- off, 20- that, 21- stage;offensive targeting Islam
12224007_gab;HateXplain;yeah but what the f happened to them alu snack bar or some nonsense like that we can only expect the the mussie call to prayer now all;1- yeah, 2- but, 3- what, 4- the, 5- f, 6- happened, 7- to, 8- them, 9- alu, 10- snack, 11- bar, 12- or, 13- some, 14- nonsense, 15- like, 16- that, 17- we, 18- can, 19- only, 20- expect, 21- the, 22- the, 23- mussie, 24- call, 25- to, 26- prayer, 27- now, 28- all;hatespeech targeting Islam
1225172538453643270_twitter;HateXplain;i asked my non muslim friend to pick a hijab color that goes w my outfit amp she goes “ do they make clear heejabs so we can see ur hair ” i;1- i, 2- asked, 3- my, 4- non, 5- muslim, 6- friend, 7- to, 8- pick, 9- a, 10- hijab, 11- color, 12- that, 13- goes, 14- w, 15- my, 16- outfit, 17- amp, 18- she, 19- goes, 20- “, 21- do, 22- they, 23- make, 24- clear, 25- heejabs, 26- so, 27- we, 28- can, 29- see, 30- ur, 31- hair, 32- ”, 33- i;offensive targeting Islam
12290381_gab;HateXplain;islam and antisexist parading together are like nazi and jewish together;1- islam, 2- and, 3- antisexist, 4- parading, 5- together, 6- are, 7- like, 8- nazi, 9- and, 10- jewish, 11- together;offensive targeting Islam
1234156512110632965_twitter;HateXplain;<user> islamphobes are so annoying as well right;1- <user>, 2- islamphobes, 3- are, 4- so, 5- annoying, 6- as, 7- well, 8- right;offensive targeting Islam
1243721_gab;HateXplain;didnt you all realize huma weiner was hiding something when she separated from carlos danger i bet the muslim brotherhood has her halfway back to saudi arabia by now maga gabfam draintheswap;1- didnt, 2- you, 3- all, 4- realize, 5- huma, 6- weiner, 7- was, 8- hiding, 9- something, 10- when, 11- she, 12- separated, 13- from, 14- carlos, 15- danger, 16- i, 17- bet, 18- the, 19- muslim, 20- brotherhood, 21- has, 22- her, 23- halfway, 24- back, 25- to, 26- saudi, 27- arabia, 28- by, 29- now, 30- maga, 31- gabfam, 32- draintheswap;offensive targeting Islam
